feature_name,data_type,description,encoding_used,missing_value_strategy
Accident_Index,object,Sourced from raw UK Road Safety data,None,No missing values
1st_Road_Number,float64,Sourced from raw UK Road Safety data,None,Median imputation
2nd_Road_Number,float64,Sourced from raw UK Road Safety data,None,Median imputation
Accident_Severity,object,Sourced from raw UK Road Safety data,None,No missing values
Did_Police_Officer_Attend_Scene_of_Accident,float64,Sourced from raw UK Road Safety data,None,Median imputation
Latitude,float64,Sourced from raw UK Road Safety data,None,Median imputation
Local_Authority_(District),int64,Sourced from raw UK Road Safety data,Label,No missing values
Local_Authority_(Highway),int64,Sourced from raw UK Road Safety data,Label,No missing values
Location_Easting_OSGR,float64,Sourced from raw UK Road Safety data,None,Median imputation
Location_Northing_OSGR,float64,Sourced from raw UK Road Safety data,None,Median imputation
Longitude,float64,Sourced from raw UK Road Safety data,None,Median imputation
LSOA_of_Accident_Location,int64,Sourced from raw UK Road Safety data,Label,'Unknown' category
Number_of_Casualties,int64,Sourced from raw UK Road Safety data,None,No missing values
Number_of_Vehicles,int64,Sourced from raw UK Road Safety data,None,No missing values
Pedestrian_Crossing-Human_Control,float64,Sourced from raw UK Road Safety data,None,Median imputation
Pedestrian_Crossing-Physical_Facilities,float64,Sourced from raw UK Road Safety data,None,Median imputation
Police_Force,int64,Sourced from raw UK Road Safety data,Label,No missing values
Speed_limit,float64,Sourced from raw UK Road Safety data,None,Median imputation
Year,float64,Calendar year extracted from accident date,None,No missing values
Age_of_Vehicle_mean,float64,Sourced from raw UK Road Safety data,None,Median imputation
Age_of_Vehicle_max,float64,Sourced from raw UK Road Safety data,None,Median imputation
Engine_Capacity_.CC._mean,float64,Sourced from raw UK Road Safety data,None,Median imputation
Engine_Capacity_.CC._max,float64,Sourced from raw UK Road Safety data,None,Median imputation
Driver_IMD_Decile_mean,float64,Sourced from raw UK Road Safety data,None,Median imputation
Driver_IMD_Decile_max,float64,Sourced from raw UK Road Safety data,None,Median imputation
Number_of_Vehicles_Involved,float64,Vehicle count aggregated from Vehicle_Information per accident,None,Median imputation
Vehicle_Type_Diversity,float64,Distinct vehicle types involved in the accident,None,Median imputation
