Cluster,Center_Latitude,Center_Longitude,Total_Accidents,Dominant_Severity,Dominant_Weather,Dominant_Road_Type,Average_Speed,Average_Casualties,Peak_Hour,Fatal_Count,Serious_Count,Slight_Count
0,51.51517,-0.1632317,484266,Slight,Fine No High Winds,Single Carriageway,34.53,1.26,17.0,3522,55283,425461
633,52.51914,-1.9546542,83307,Slight,Fine No High Winds,Single Carriageway,33.63,1.37,17.0,765,10295,72247
140,53.496063,-2.24795,62855,Slight,Fine No High Winds,Single Carriageway,33.28,1.39,17.0,639,7514,54702
446,53.758736,-1.6638473,58862,Slight,Fine No High Winds,Single Carriageway,33.53,1.42,17.0,515,7751,50596
91,53.43649,-2.8289125,41049,Slight,Fine No High Winds,Single Carriageway,33.16,1.46,17.0,381,5877,34791
509,53.406013,-1.4184225,34744,Slight,Fine No High Winds,Single Carriageway,35.82,1.39,17.0,306,4409,30029
255,54.959965,-1.5423435,33473,Slight,Fine No High Winds,Single Carriageway,36.52,1.35,16.0,222,3708,29543
853,53.00352,-1.209756,31312,Slight,Fine No High Winds,Single Carriageway,35.36,1.31,17.0,237,4381,26694
2858,55.8473,-4.2288647,31221,Slight,Fine No High Winds,Single Carriageway,33.56,1.26,17.0,304,4205,26712
2270,51.467903,-2.574156,20121,Slight,Fine No High Winds,Single Carriageway,32.54,1.24,17.0,169,1981,17971
2007,50.831997,-0.24442491,18261,Slight,Fine No High Winds,Single Carriageway,33.39,1.24,17.0,130,2999,15132
1096,52.62995,-1.133977,17143,Slight,Fine No High Winds,Single Carriageway,33.87,1.3,17.0,119,1405,15619
1733,50.833317,-1.0965703,17096,Slight,Fine No High Winds,Single Carriageway,35.07,1.2,17.0,87,2837,14172
1732,50.94072,-1.3816397,15659,Slight,Fine No High Winds,Single Carriageway,37.55,1.23,17.0,91,2509,13059
2797,55.942593,-3.2013917,15275,Slight,Fine No High Winds,Single Carriageway,32.08,1.17,17.0,87,1942,13246
1777,50.739906,-1.8924999,14132,Slight,Fine No High Winds,Single Carriageway,33.19,1.25,17.0,86,1970,12076
66,53.77274,-2.364841,13297,Slight,Fine No High Winds,Single Carriageway,33.24,1.41,17.0,89,2015,11193
206,53.01845,-2.1825354,13030,Slight,Fine No High Winds,Single Carriageway,33.84,1.33,17.0,112,861,12057
648,52.436363,-1.4952573,13028,Slight,Fine No High Winds,Single Carriageway,34.9,1.31,17.0,130,1818,11080
82,53.735878,-2.6835759,12870,Slight,Fine No High Winds,Single Carriageway,36.48,1.44,17.0,117,1921,10832
582,53.757458,-0.35333365,11557,Slight,Fine No High Winds,Single Carriageway,31.6,1.28,17.0,67,1706,9784
162,53.341557,-2.5207376,10292,Slight,Fine No High Winds,Single Carriageway,45.75,1.45,17.0,102,1267,8923
2608,51.493076,-3.1845577,10131,Slight,Fine No High Winds,Single Carriageway,33.83,1.37,17.0,95,965,9071
854,52.912525,-1.4686214,9597,Slight,Fine No High Winds,Single Carriageway,35.49,1.31,17.0,67,1177,8353
2178,50.389305,-4.1334968,9594,Slight,Fine No High Winds,Single Carriageway,35.81,1.28,17.0,55,874,8665
147,53.357815,-3.0157626,9562,Slight,Fine No High Winds,Single Carriageway,34.35,1.43,17.0,81,1684,7797
2609,51.63598,-3.9157372,9332,Slight,Fine No High Winds,Single Carriageway,35.76,1.39,17.0,87,917,8328
618,54.56582,-1.2569438,7998,Slight,Fine No High Winds,Single Carriageway,35.26,1.39,17.0,52,1171,6775
60,53.82527,-3.0284064,7994,Slight,Fine No High Winds,Single Carriageway,31.62,1.37,17.0,43,1144,6807
1207,52.577286,-0.25069678,7655,Slight,Fine No High Winds,Single Carriageway,39.52,1.34,17.0,48,835,6772
1637,51.76683,-1.2400391,7289,Slight,Fine No High Winds,Single Carriageway,37.07,1.26,17.0,58,1045,6186
507,53.52072,-1.1260437,6959,Slight,Fine No High Winds,Single Carriageway,38.48,1.4,17.0,64,760,6135
1296,52.635635,1.283562,6581,Slight,Fine No High Winds,Single Carriageway,33.08,1.22,17.0,37,886,5658
1205,52.210423,0.12350838,6567,Slight,Fine No High Winds,Single Carriageway,35.86,1.19,17.0,44,857,5666
1884,51.28563,0.4850484,5839,Slight,Fine No High Winds,Single Carriageway,42.5,1.34,17.0,60,588,5191
549,53.558727,-0.07749496,5435,Slight,Fine No High Winds,Single Carriageway,31.75,1.43,17.0,22,838,4575
2457,51.566685,-1.7796688,5435,Slight,Fine No High Winds,Single Carriageway,37.79,1.3,17.0,46,682,4707
2241,50.475967,-3.5652955,5395,Slight,Fine No High Winds,Single Carriageway,35.17,1.28,17.0,32,568,4795
1165,52.244354,-0.8831164,5392,Slight,Fine No High Winds,Single Carriageway,35.25,1.24,17.0,45,894,4453
1356,52.053314,1.1558577,5317,Slight,Fine No High Winds,Single Carriageway,37.42,1.28,17.0,38,589,4690
355,53.963593,-1.0870771,4796,Slight,Fine No High Winds,Single Carriageway,33.58,1.19,17.0,32,562,4202
1069,53.221478,-0.5537257,4534,Slight,Fine No High Winds,Single Carriageway,35.49,1.3,17.0,28,466,4040
1894,51.364735,1.39254,4516,Slight,Fine No High Winds,Single Carriageway,31.81,1.29,17.0,29,499,3988
2011,50.86111,0.53798926,4198,Slight,Fine No High Winds,Single Carriageway,31.75,1.28,17.0,40,773,3385
2203,50.719536,-3.5124512,4015,Slight,Fine No High Winds,Single Carriageway,35.36,1.24,17.0,28,373,3614
1559,51.890446,0.8972079,3844,Slight,Fine No High Winds,Single Carriageway,36.25,1.22,17.0,34,620,3190
1416,52.13154,-0.4656001,3728,Slight,Fine No High Winds,Single Carriageway,34.03,1.28,17.0,29,466,3233
2009,50.7885,0.28067482,3691,Slight,Fine No High Winds,Single Carriageway,33.62,1.3,17.0,22,605,3064
2387,51.856403,-2.2285643,3666,Slight,Fine No High Winds,Single Carriageway,35.1,1.25,17.0,31,499,3136
73,54.056114,-2.8250875,3663,Slight,Fine No High Winds,Single Carriageway,32.32,1.37,17.0,29,643,2991
1515,51.734608,0.4829422,3490,Slight,Fine No High Winds,Single Carriageway,39.84,1.24,17.0,34,567,2889
2732,57.151535,-2.1156545,3484,Slight,Fine No High Winds,Single Carriageway,31.33,1.14,17.0,48,725,2711
1589,51.619995,-0.72845787,3459,Slight,Fine No High Winds,Single Carriageway,40.13,1.36,17.0,44,456,2959
2581,51.586945,-2.992758,3286,Slight,Fine No High Winds,Single Carriageway,40.65,1.35,17.0,38,340,2908
794,52.68466,-2.467154,3244,Slight,Fine No High Winds,Single Carriageway,37.26,1.35,17.0,25,370,2849
191,53.19459,-2.8870816,3225,Slight,Fine No High Winds,Single Carriageway,37.52,1.34,17.0,24,465,2736
187,53.09031,-2.4584632,3168,Slight,Fine No High Winds,Single Carriageway,34.67,1.28,17.0,35,488,2645
1881,51.160206,0.27219576,3082,Slight,Fine No High Winds,Single Carriageway,35.34,1.29,16.0,26,365,2691
452,53.707428,-1.3354234,3064,Slight,Fine No High Winds,Single Carriageway,35.34,1.42,17.0,30,481,2553
694,52.806404,-1.6370279,2992,Slight,Fine No High Winds,Single Carriageway,34.64,1.33,17.0,29,186,2777
558,53.58043,-0.65617025,2789,Slight,Fine No High Winds,Single Carriageway,33.46,1.38,16.0,26,410,2353
718,52.193027,-2.2114882,2710,Slight,Fine No High Winds,Single Carriageway,34.63,1.26,15.0,13,301,2396
2752,56.473522,-2.9671102,2603,Slight,Fine No High Winds,Single Carriageway,31.89,1.2,17.0,31,526,2046
695,52.619972,-1.671762,2511,Slight,Fine No High Winds,Single Carriageway,36.7,1.33,17.0,16,200,2295
352,54.529392,-1.5504359,2505,Slight,Fine No High Winds,Single Carriageway,31.73,1.32,17.0,12,283,2210
1735,51.263756,-1.0946997,2498,Slight,Fine No High Winds,Single Carriageway,42.32,1.25,8.0,29,396,2073
113,53.6403,-2.9960682,2457,Slight,Fine No High Winds,Single Carriageway,30.34,1.39,15.0,29,350,2078
800,52.287296,-1.5484365,2450,Slight,Fine No High Winds,Single Carriageway,33.56,1.25,17.0,25,310,2115
2388,51.90028,-2.0929792,2448,Slight,Fine No High Winds,Single Carriageway,34.43,1.21,17.0,28,365,2055
1879,51.144245,0.87678236,2369,Slight,Fine No High Winds,Single Carriageway,39.14,1.31,17.0,13,236,2120
